,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description
10,Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Nutritional Values of Sheera
The nutritional values of sheera can vary significantly depending on the specific recipe. Factors like the type of flour (wheat, ragi, etc.), the amount of sugar or jaggery used, and the inclusion of nuts or dried fruits will impact the final nutrient profile.

General Nutritional Breakdown
Typically, sheera is a dish rich in carbohydrates, with moderate amounts of protein and fat.

 It's a good source of energy due to its high carbohydrate content. However, the overall nutritional value can be improved by using healthier alternatives like whole wheat flour, jaggery instead of refined sugar, and adding nuts and seeds.   

Key Nutrients
Carbohydrates: The primary source of energy.
Protein: Essential for building and repairing tissues.   
Fat: Provides essential fatty acids.
Fiber: Aids digestion and promotes satiety.
Vitamins and Minerals: Varies based on ingredients.
Example Nutritional Values
To give you a general idea, here's an approximate nutritional breakdown of a typical serving of wheat sheera:

Nutrient	Amount
Calories	250-350
Carbohydrates	40-50g
Protein	5-7g
Fat	10-15g
Fiber	2-3g

Export to Sheets
Please note: These values are estimates and can vary significantly based on the recipe."
11,Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,Uttar Pradesh,North,"Nutritional Values of Sohan Halwa

Sohan Halwa is a rich, indulgent Indian sweet that is high in calories and fat. It's primarily made from ghee, sugar, and gram flour, which contribute to its rich taste and texture.   

Typical Nutritional Breakdown (per 100g):
Calories: Around 600-700 calories
Fat: High in fat content, primarily saturated fat   
Carbohydrates: High in sugar content   
Protein: Low in protein
Please note: These values can vary slightly depending on the specific recipe and ingredients used.

Why is Sohan Halwa high in calories?
Ghee: A significant amount of ghee is used in the preparation, which is high in calories and fat.
Sugar: Sohan Halwa is quite sweet, contributing to its high calorie count.
Gram Flour: While a good source of protein, it also adds to the overall calorie content.
If you're watching your calorie intake, it's best to enjoy Sohan Halwa in moderation."
12,Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,-1,60,sweet,dessert,Maharashtra,West,"Nutritional Values of Sohan Papdi
Sohan Papdi

 is a popular Indian sweet, but it's also high in calories and fat due to its ingredients (primarily sugar, ghee, and flour).   

Typical Nutritional Values (per 100g):
Calories: Approximately 490 kcal   
Total Fat: Around 23g
Saturated Fat: About 14g
Total Carbohydrates: Approximately 65g   
Please note: These values can vary slightly depending on the specific recipe and brand.

A word of caution:
Due to its high sugar and fat content, Sohan Papdi should be consumed in moderation as part of a balanced diet."
13,Chhena kheeri,"Chhena, sugar, milk",vegetarian,-1,60,sweet,dessert,Odisha,East,"Nutritional Values of Cheena Kheer
Disclaimer: The exact nutritional values of cheena kheer can vary depending on the specific recipe and ingredients used. The following information provides a general estimate.

Cheena Kheer Nutritional Breakdown
Cheena kheer, made primarily from chhena (Indian cottage cheese) and milk, is generally considered a rich and indulgent dessert. Its nutritional profile typically includes:

High in calories: Due to the presence of milk, sugar, and often ghee or clarified butter.
Good source of protein: Thanks to the chhena content.
Contains calcium and phosphorus: Primarily from the milk.
Moderate amounts of carbohydrates and fats: Depending on the recipe and ingredients.
General Nutritional Values (Approximate)
Please note that these values are estimates and can vary significantly based on the recipe.

Nutrient	Amount per serving
Calories	250-350 kcal
Protein	10-15 g
Fat	15-20 g
Carbohydrates	25-35 g
Calcium	150-200 mg
Phosphorus	100-150 mg

Export to Sheets
Factors Affecting Nutritional Content
Type of milk: Whole milk, low-fat milk, or skimmed milk will impact the fat and calorie content.
Sugar content: The amount of sugar added directly affects the calorie and carbohydrate count.
Addition of nuts or dried fruits: Can increase the calorie, fat, and fiber content.
Cooking method: The use of ghee or clarified butter can elevate the fat content."
14,Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Nutritional Values of Cham Cham
Cham Cham is a popular Indian sweet made primarily from milk solids.

 As with most sweets, it's high in carbohydrates and sugar.   

Approximate Nutritional Values per 100g:
Calories: Around 240-277 kcal
Carbohydrates: Approximately 52-57.99g   
Sugars: High amount, around 51-51.86g   
Protein: Approximately 2.2-8.52g   
Fat: Around 2.5-1.2g   
Please note: These values are approximate and can vary depending on the specific recipe and brand.

A Breakdown of the Nutritional Content:
High in carbohydrates and sugars: Due to the presence of milk solids and sugar syrup, Cham Cham is a rich source of energy.
Moderate protein content: The milk solids contribute to the protein content.
Low in fat: Compared to other sweets, Cham Cham is relatively low in fat.   
Important to remember: Cham Cham is a treat and should be consumed in moderation as part of a balanced diet."
15,Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"A Challenge in Finding Nutritional Information for Ledikhni
Reasons being:

Regional Variation: The dish might be a regional specialty with a local name.
Less Common Dish: It could be a less commonly known dish, limiting available data.
Misspelled Name: There might be a misspelling in the dish's name.
Potential Alternatives
If you could provide more details about the dish, I might be able to offer a more accurate estimate.

Here are some possibilities based on similar-sounding names:

Lehsuni: If you meant ""Lehsuni,"" a garlic-based Indian dish, it would typically be high in carbohydrates from the base (roti or rice) and fats from oil used in cooking. Protein content would depend on the inclusion of lentils or paneer.
Other Possibilities: Could you describe the main ingredients and cooking method of the dish? This might help identify similar dishes with known nutritional information.
Common Indian dishes often include:

Carbohydrates: From rice, roti, or bread.
Protein: From lentils, chickpeas, paneer, or meat.
Fats: From oil, ghee, or dairy products.
Vitamins and Minerals: Depending on the ingredients, especially in vegetables and spices.
Estimating Nutritional Values
If you can provide more details about the ingredients and quantities, I can give you a rough estimate of the nutritional values based on similar dishes."
16,Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,A Challenge in Finding Nutritional Information for LyangachaA Challenge in Finding Nutritional Information for Lyangacha
17,Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Nutritional Value of Malpua
Malpua is a delicious Indian sweet made with refined flour, milk, and sugar, deep-fried, and soaked in sugar syrup. Due to its ingredients and preparation method, it's considered a high-calorie treat.

Typical Nutritional Breakdown
While the exact nutritional values can vary based on the specific recipe and ingredients used, here's a general estimate for a single malpua:

Calories: Around 150-200 calories
Carbohydrates: The primary macronutrient, due to the flour and sugar content.
Fat: High in fat due to deep frying.
Protein: Relatively low in protein.
Key Points to Remember
High in sugar: The sugar syrup used to soak the malpua contributes significantly to its sugar content.
Deep-fried: This cooking method adds to the calorie and fat content.
Occasional treat: Malpua is best enjoyed in moderation as part of a balanced diet."
18,Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Nutritional Values of Mishti Doi

Mishti Doi, a delightful Bengali sweet, is essentially sweetened yogurt. Its nutritional value can vary based on the specific recipe and ingredients used. However, generally, it's a good source of protein and calcium due to its yogurt base.   

Here's a general breakdown of the nutritional content in Mishti Doi:

High in calories: Due to the addition of sugar.
Good source of protein: Contributed by the yogurt.
Provides calcium: Beneficial for bone health.   
Contains carbohydrates: Primarily from milk sugar (lactose) and added sugar.
Moderate fat content: Depends on the fat content of the milk used.
Nutritional Information (Approximate) per 100g:
Calories: Around 150-200 calories
Protein: 4-6 grams
Fat: 5-7 grams
Carbohydrates: 20-25 grams
Calcium: A good source
Please note that these values are estimates. The exact nutritional content can vary depending on the specific recipe, ingredients, and brand.

If you're looking for a healthier version, you can opt for low-fat or Greek yogurt and reduce the amount of added sugar."
19,Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Nutritional Value of Pitha: A General Overview
Disclaimer: The nutritional value of pitha can vary significantly based on the type of pitha, ingredients used, and preparation method. The data provided here is a general estimate.

Pitha, a popular Bengali sweet or savory dish, is generally made with rice flour and filled with various ingredients like coconut, jaggery, lentil paste, etc. This makes it a relatively healthy option compared to many other fried snacks.

General Nutritional Profile
While specific nutritional data might vary, here's a general breakdown of the macronutrients you can expect in pitha:

Carbohydrates: The primary source of energy, due to the rice flour base.
Protein: Moderate amounts, especially in pithas with lentil fillings.
Fat: Varies depending on the filling and cooking method. Generally lower in fat compared to fried snacks.
Vitamins and Minerals
Pitha can be a good source of:

Vitamin E: Due to the rice flour content.
Calcium: Also from the rice flour.
Iron: If lentils or other iron-rich ingredients are used in the filling.
Factors Affecting Nutritional Value
Type of Pitha: Different pithas (like Manda Pitha, Khirer Pitha, etc.) have varying nutritional profiles.
Ingredients: The fillings and additional ingredients significantly impact the nutritional content.
Cooking Method: Steaming or grilling is generally healthier than deep-frying."
20,Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Nutritional Values of Ras Malai
Ras Malai

 is a rich Indian dessert, beloved for its creamy texture and sweet flavor. However, it's also known for being high in calories, fat, and sugar.   

Typical Nutritional Breakdown (per serving):
Calories: Around 300-350 calories
Fat: High in saturated fat   
Carbohydrates: Primarily from sugar
Protein: Low
Sodium: Moderate
Please note: These values can vary based on the specific recipe, ingredients used, and serving size.

Why is Ras Malai high in calories?
Rich milk: The base of Ras Malai is milk, which is naturally high in fat.
Cream and ghee: Often used to enrich the flavor and texture.
Sugar: The sweetened condensed milk and sugar syrup contribute significantly to the calorie count.
Enjoying Ras Malai in Moderation:
Portion control: Limit your serving size.
Balance it out: Pair it with a low-calorie meal or snack.
Homemade option: Making it at home can give you control over the ingredients and sugar content."
21,Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Nutritional Values of Rasgulla
Disclaimer: The exact nutritional values of rasgulla can vary depending on the specific recipe and ingredients used. The following information is a general estimate.

A typical rasgulla (approximately 50g) contains around:

Calories: 100-120 calories

   
Carbohydrates: Primarily from sugar
Protein: Low amount of protein
Fat: Low amount of fat   
Key points to remember:

High in sugar: Rasgulla is a sweet dish, so it's high in sugar content.   
Low in protein and fat: While it contains some protein and fat, the amounts are relatively low.
If you're watching your calorie intake or sugar consumption, it's best to enjoy rasgulla in moderation."
22,Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Nutritional Value of Sandesh
Sandesh, a popular Bengali sweet, is primarily made from chhena (fresh paneer) and sugar.

 Its nutritional value can vary based on the specific recipe and ingredients used.   

General Nutritional Profile:

Calories: Approximately 114 calories per piece (18 grams)
Carbohydrates: Around 9 grams per piece
Protein: Approximately 4.5 grams per piece
Fat: About 6.6 grams per piece
Other Nutrients:

Calcium: Sandesh is a good source of calcium due to the milk solids in chhena.   
Protein: It provides a decent amount of protein, making it a relatively healthier sweet option compared to other desserts.
Important Considerations:

Sugar Content: The amount of sugar used in the recipe significantly impacts the overall nutritional value.
Fat Content: The type of milk used and the fat content of the chhena can affect the fat content of the sandesh.
Additional Ingredients: Flavors like cardamom, saffron, and nuts can add nutritional value but also increase calories.
Overall, sandesh can be enjoyed in moderation as part of a balanced diet. While it's not a low-calorie dessert, its protein content and calcium make it a relatively healthier choice compared to other sweets."
23,Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"Adhisaram: A Delicious but Caloric Treat
Adhisaram is a popular Indian sweet made from refined flour, milk, and sugar. While it's undeniably delicious, it's also quite high in calories due to the deep-frying process and the addition of sugar syrup.

Nutritional Breakdown (Approximate)
A typical serving of mal pua (1-2 pieces) can contain:

High calories: Due to deep-frying and sugar syrup.
Carbohydrates: Main source of energy from flour and sugar.
Fat: High in fat content due to deep-frying.
Sugar: Added sugar from sugar syrup.
Protein: Minimal protein content.
Note: The exact nutritional values can vary depending on the recipe, ingredients, and serving size.

Health Considerations
While Adhisaram is a delightful treat, it's best enjoyed in moderation. Consuming it frequently can lead to weight gain and other health issues."
24,Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Nutritional Values of Ariselu
Ariselu is a delicious Indian sweet made primarily from rice flour, jaggery, and ghee. Its nutritional value can vary slightly depending on the specific recipe and ingredients used.

Here's a general breakdown of the nutritional components in Ariselu:

Calories: Approximately 312 calories per serving
Protein: Around 2 grams per serving
Carbohydrates: Approximately 45 grams per serving
Fiber: About 0.8 grams per serving
Fat: Around 8.9 grams per serving
Cholesterol: 10 mg per serving
Calcium: 7 mg per serving
Iron: 0.2 mg per serving
Potassium: 813 mg per serving
Key points to remember:


Rich in carbohydrates: Ariselu is a sweet treat and primarily provides energy from carbohydrates.
Good source of iron: The jaggery used in Ariselu is rich in iron, which is essential for preventing anemia.   
High in calories and fat: Due to the use of ghee, Ariselu is considered a high-calorie and high-fat food. Enjoy it in moderation."
25,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Nutritional Values of Bandar Laddu
Disclaimer: The exact nutritional values of Bandar Laddu can vary depending on the specific recipe and ingredients used. The following information is a general estimate based on common ingredients.

Typical Nutritional Breakdown
Bandar Laddu, also known as Tokkudu Laddu, is generally rich in carbohydrates, fats, and proteins. It's a good source of iron and calcium as well.


Carbohydrates: The primary source of energy, coming from ingredients like gram flour and jaggery.
Fats: Primarily from ghee or oil used in the preparation.
Proteins: Derived from gram flour.   
Iron: Essential for blood health, found in gram flour.   
Calcium: Important for bone health, though the quantity might be relatively low.
Approximate Nutritional Values (per serving)
Nutrient	Amount
Calories	180-250
Fat	10-15g
Carbohydrates	25-30g
Protein	3-5g
Fiber	1-2g
Sugar	15-20g
Calcium	10-20mg
Iron	0.8-1.2mg

Export to Sheets
Important Note:
Moderation is key: While Bandar Laddu is a delicious treat, it is high in calories and sugar. Enjoy it in moderation as part of a balanced diet.
Variations: The nutritional content can vary significantly based on the specific recipe, ingredients, and quantities used.
Homemade vs. Store-bought: Homemade Bandar Laddu might be healthier as you can control the ingredients. Store-bought options may contain additional preservatives or artificial sweeteners.
If you have specific dietary concerns or restrictions, it's advisable to consult a nutritionist or healthcare professional."
26,Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Nutritional Value of Chikki
Chikki

 is a popular Indian sweet made primarily from peanuts and jaggery. Its nutritional value can vary based on specific ingredients and proportions, but generally, it's a good source of:   

Protein: Peanuts are rich in protein, making chikki a good option for a quick energy boost.   
Fiber: Peanuts and jaggery contribute to the fiber content, aiding digestion.
Iron: Jaggery is known for its iron content, helping in blood production.   
Antioxidants: Peanuts and jaggery contain antioxidants that protect cells from damage.
However, chikki is also high in calories and sugar. Therefore, it should be consumed in moderation as part of a balanced diet.   

A Typical Nutritional Breakdown (Approximate Values)
Nutrient	Amount per serving
Calories	150-200
Fat	8-12g
Carbohydrates	20-25g
Protein	6-8g

Export to Sheets
Note: These values can vary significantly depending on the specific recipe, ingredients, and serving size.

Health Considerations
Diabetes: People with diabetes should consume chikki in moderation due to its high sugar content.   
Weight management: Chikki is high in calories, so it should be included in a balanced diet for weight management.
Allergies: Individuals with peanut allergies should avoid chikki.
Overall, chikki can be enjoyed as a treat in moderation, but it's essential to balance it with a healthy diet."
27,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Nutritional Values of Dharwad Petha
Disclaimer: The exact nutritional values can vary depending on the specific brand and recipe. The information provided below is an approximate estimate.

Dharwad petha is primarily made from ash gourd (pumpkin) and sugar. As such, it is a high-calorie food due to its sugar content. It's generally considered a treat rather than a staple diet.

Approximate Nutritional Values per Serving:
Calories: High
Carbohydrates: High
Sugar: High
Fat: Low
Protein: Low
Key Nutrients:
Fiber: While not a significant source of fiber, it does contain some due to the ash gourd content.
Vitamins and Minerals: The nutritional value of vitamins and minerals is relatively low.
If you are concerned about your calorie intake or have specific dietary restrictions, it's advisable to consume Dharwad petha in moderation."
28,Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Nutritional Values of Double Ka Meetha
Double ka meetha is a delicious Indian dessert, but it's also quite rich due to the use of bread, milk, and sugar.

Approximate Nutritional Values (per serving)
Calories: Around 300-400 calories

   
Carbohydrates: High due to bread and sugar   
Protein: Moderate, mainly from milk
Fat: High due to milk and ghee (if used)   
Sugar: Very high due to condensed milk and sugar
Please note: These are approximate values and can vary based on the specific recipe and ingredients used.

If you're watching your calorie intake or have specific dietary concerns, it's best to enjoy double ka meetha in moderation."
29,Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Nutritional Values of Gavvalu
Gavvalu is a delicious Indian snack with various types like sweet, spicy, and jaggery-based. The nutritional values can vary significantly based on the ingredients and preparation method.

General Nutritional Profile
While specific nutritional data might not be readily available for homemade gavvalu, we can estimate the general nutritional profile based on its ingredients:

Carbohydrates: The primary component due to the flour used.
Protein: Moderate amount from the flour.
Fat: Depends on the oil used for frying or the fat content of the filling.
Fiber: Low to moderate, depending on the flour type.
Sugar: High in sweet versions due to added sugar or jaggery.
Sodium: Can be high, especially in spicy versions due to added salt.
Nutritional Values for Commercial Gavvalu

Some commercial brands provide nutritional information on their packaging. For example:   

Tasties Origins Sweet Gavvalu:
Energy: 489.2 kcal   
Carbohydrate: 71.3 g   
Total Sugar: 28.9 g   
Added Sugar: 23.3 g   
Dietary Fiber: 3.1 g   
Note: These values are specific to this particular brand and may differ for other products.

Factors Affecting Nutritional Content
Type of Gavvalu: Sweet, spicy, or jaggery-based.
Ingredients: Flour type, oil used, sugar or jaggery content, and added spices.
Preparation method: Deep-fried or baked.
If you have a specific recipe or brand in mind, I can try to find more accurate nutritional information."
30,Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"General Nutritional Profile
Kakinada Khaja is primarily made from wheat flour, ghee, and sugar. Given this, you can expect it to be:

High in calories: Due to the generous amount of ghee and sugar.
High in carbohydrates: The main ingredient, wheat flour, is a carbohydrate source.
High in fat: Ghee, a clarified butter, is rich in saturated fat.

   
Moderate in protein: Wheat flour provides a small amount of protein.
Low in fiber: The refining process of wheat flour removes most of the fiber.
Low in micronutrients: It is unlikely to be a significant source of vitamins and minerals.
A Healthier Perspective
While Kakinada Khaja is undoubtedly delicious, it's considered a treat due to its high calorie and fat content. Consuming it in moderation is advisable.

If you're looking for a healthier alternative, consider:

Reducing the amount of ghee used in preparation.
Using whole wheat flour instead of refined flour.
Adding nuts or seeds for added nutrients."
31,Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Kuzhi Paniyaram: A Nutritional Powerhouse
Kuzhi paniyaram is generally considered a healthy snack due to its light and fluffy texture.

 It's primarily made from rice flour, which is a good source of carbohydrates for energy.   

Nutritional Breakdown:
Low in calories: Being a light snack, kuzhi paniyaram is relatively low in calories.
No cholesterol: It's completely free from cholesterol.   
No saturated fat: This makes it a heart-healthy option.
Good source of carbohydrates: The rice flour provides essential energy.
Rich in protein: If you add lentils or other protein-rich ingredients to the batter, it can boost the protein content.
Important Note:
The nutritional value can vary depending on the ingredients you use. For instance, adding ghee or oil for cooking will increase the calorie and fat content.

Overall, kuzhi paniyaram is a nutritious and satisfying snack. It's a good choice for people looking for a light and healthy option."
32,Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Nutritional Value of Mysore Pak
Mysore Pak

 is a popular Indian sweet made primarily from gram flour, sugar, and ghee. While it's undeniably delicious, it's also high in calories and fat due to the generous use of ghee.   

Nutritional Breakdown (Approximate Values)
The exact nutritional values can vary depending on the recipe and ingredients used. However, generally, Mysore Pak contains:

High calories: Primarily from fat and sugar.
High fat: Due to the use of ghee.
Moderate carbohydrates: Mainly from gram flour and sugar.
Low protein: Compared to fat and carbohydrates.   
Low fiber: Not a significant source of fiber.   
A Note of Caution
While Mysore Pak is a treat to indulge in occasionally, it's not recommended as a regular part of a balanced diet due to its high calorie and fat content. Excessive consumption can lead to weight gain and other health issues."
